name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Mario Sousa,15-3-0,Coracao Valente,"6'3""",185lbs.,"79""",Orthodox,"Oct20,1996",2.82,50%,2.99,28%,0.52,25%,37%,0.5,2025-07-24 10:17:07.375392
Manoel Sousa,12-1-0,Manumito,--,155lbs.,--,,"Jun04,1997",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Bobby Southworth,10-6-0 (1 NC),,"6'2""",205lbs.,--,Orthodox,"Dec16,1969",0.99,39%,1.38,65%,3.98,78%,64%,1.3,2025-07-24 10:17:07.375392
Jacare Souza,26-10-0 (1 NC),,"6'1""",185lbs.,"72""",Orthodox,"Dec07,1979",2.53,47%,2.83,62%,2.57,39%,57%,1.3,2025-07-24 10:17:07.375392
Edimilson Souza,15-5-0,Kevin,"6'0""",145lbs.,"74""",Orthodox,"Oct17,1984",4.65,44%,2.91,58%,0.00,0%,50%,0.0,2025-07-24 10:17:07.375392
Livinha Souza,14-4-0,The Brazilian Gangsta,"5'3""",115lbs.,"63""",Orthodox,"Mar11,1991",1.75,45%,3.60,56%,2.54,45%,40%,1.4,2025-07-24 10:17:07.375392
Bruno Souza,10-3-0,The Tiger,"5'10""",145lbs.,"70""",Orthodox,"Mar07,1996",3.73,39%,5.30,45%,0.50,16%,60%,0.0,2025-07-24 10:17:07.375392
Ketlen Souza,15-5-0,Esquentadinha,"5'3""",115lbs.,"63""",Orthodox,"Aug18,1994",4.92,59%,4.46,51%,0.43,25%,64%,0.4,2025-07-24 10:17:07.375392
Heraldo Souza,9-2-1,Savage,"5'11""",185lbs.,"73""",Orthodox,"Dec15,1994",1.62,33%,1.62,50%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Charon Spain,14-26-0,,"5'9""",155lbs.,--,,"Mar11,1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Chris Spang,6-3-0,The Kiss,"6'2""",170lbs.,--,Orthodox,"Nov26,1987",1.83,36%,1.95,60%,0.00,0%,50%,0.9,2025-07-24 10:17:07.375392
Andreas Spang,9-3-0,Sweet Swede,"6'1""",185lbs.,--,,"Nov07,1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
