name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Dong Hyun Ma,16-11-3,Maestro,"5'11""",155lbs.,"70""",Orthodox,"Sep09,1988",2.84,41%,4.10,54%,1.27,53%,33%,0.0,2025-07-24 10:17:07.375392
Pawan Maan,7-3-1,,"5'7""",155lbs.,"70""",Orthodox,"Apr06,1986",0.89,44%,2.98,43%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
William Macario,9-3-0,Patolino,"5'11""",170lbs.,"75""",Orthodox,"Jul01,1991",4.92,54%,3.96,65%,1.85,45%,78%,0.0,2025-07-24 10:17:07.375392
Jason MacDonald,25-16-0,The Athlete,"6'3""",185lbs.,"80""",Orthodox,"Jun03,1975",1.55,52%,2.70,46%,1.43,16%,35%,2.0,2025-07-24 10:17:07.375392
Rob MacDonald,5-4-0,Maximus,"6'3""",205lbs.,"78""",Orthodox,"Sep05,1978",1.80,50%,2.04,46%,7.19,80%,80%,5.4,2025-07-24 10:17:07.375392
Rory MacDonald,19-4-0,Red King,"6'0""",170lbs.,"76""",Orthodox,"Jul22,1989",3.75,42%,2.80,62%,1.77,47%,88%,0.4,2025-07-24 10:17:07.375392
Ryan MacDonald,10-2-0,Main Event,"5'11""",135lbs.,"71""",Switch,"Mar18,1993",2.28,29%,6.49,45%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Clayton MacFarlane,4-1-0,,--,170lbs.,--,,--,1.33,52%,1.82,55%,1.05,33%,37%,0.0,2025-07-24 10:17:07.375392
Ilima Macfarlane,6-0-0,,"5'4""",125lbs.,--,,--,4.13,43%,2.93,65%,0.00,0%,50%,1.0,2025-07-24 10:17:07.375392
Valesca Machado,8-3-0 (1 NC),Tina Black,"5'4""",115lbs.,"63""",Orthodox,"May06,1996",2.40,32%,2.87,64%,0.00,0%,76%,0.0,2025-07-24 10:17:07.375392
Caio Machado,8-4-1,Bigfoot,"6'4""",250lbs.,"78""",Southpaw,"Jul20,1994",5.82,53%,2.87,63%,0.00,0%,82%,0.0,2025-07-24 10:17:07.375392
Ian Machado Garry,16-1-0,The Future,"6'3""",170lbs.,"74""",Orthodox,"Nov17,1997",4.77,54%,2.77,51%,1.02,33%,73%,0.4,2025-07-24 10:17:07.375392
Lyoto Machida,24-8-0,The Dragon,"6'1""",185lbs.,"74""",Southpaw,"May30,1978",2.59,53%,1.57,61%,1.21,65%,75%,0.4,2025-07-24 10:17:07.375392
War Machine,14-5-0,,"5'11""",170lbs.,--,Orthodox,"Nov30,1981",2.32,60%,3.17,43%,1.16,50%,40%,0.0,2025-07-24 10:17:07.375392
Anthony Macias,26-18-0,Mad Dog,"5'9""",185lbs.,--,Switch,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Pauline Macias,4-1-0,PITA,"5'4""",115lbs.,"64""",Southpaw,"Jun27,1988",0.80,29%,4.60,42%,2.00,18%,0%,0.0,2025-07-24 10:17:07.375392
Reza Madadi,14-6-0,Mad Dog,"5'11""",155lbs.,"73""",Orthodox,"Jun20,1978",2.51,46%,3.31,66%,3.17,33%,89%,0.5,2025-07-24 10:17:07.375392
Don Madge,9-3-1,Magic Man,"6'0""",155lbs.,"72""",Southpaw,"Nov12,1990",2.08,52%,0.74,67%,2.22,25%,80%,0.7,2025-07-24 10:17:07.375392
Ryan Madigan,5-3-0,,"6'0""",170lbs.,--,Orthodox,--,0.00,0%,3.35,47%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Victor Madrigal,15-5-0,Periquito,"5'7""",135lbs.,"71""",Orthodox,"Aug16,1990",2.31,38%,9.56,50%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jon Madsen,8-2-0,,"6'0""",240lbs.,"72""",Orthodox,"Feb12,1980",2.46,41%,1.18,81%,1.32,71%,70%,0.0,2025-07-24 10:17:07.375392
Mark Madsen,12-2-0,The Olympian,"5'8""",155lbs.,"72""",Orthodox,"Sep23,1984",3.56,49%,3.97,52%,2.86,66%,62%,0.0,2025-07-24 10:17:07.375392
Yoshiro Maeda,35-16-5,,"5'7""",139lbs.,"68""",Southpaw,"Oct31,1981",2.36,33%,2.55,63%,2.93,51%,50%,0.7,2025-07-24 10:17:07.375392
Leonardo Mafra,13-4-0,Macarrao,"5'10""",155lbs.,"70""",Orthodox,"Apr25,1989",4.55,48%,4.38,43%,2.12,83%,69%,0.4,2025-07-24 10:17:07.375392
Vinny Magalhaes,14-9-0 (1 NC),Pezao,"6'3""",205lbs.,"75""",Orthodox,"Jul02,1984",2.14,24%,3.97,68%,1.55,44%,66%,0.8,2025-07-24 10:17:07.375392
Vinicius Magalhaes,2-1-0,Draculinho,--,145lbs.,--,,"Jul30,1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Caio Magalhaes,10-3-0,Hellboy,"6'1""",185lbs.,"73""",Orthodox,"Dec14,1987",2.27,40%,2.78,56%,1.05,15%,58%,1.6,2025-07-24 10:17:07.375392
Bernardo Magalhaes,13-4-0,Trekko,"5'9""",155lbs.,--,Orthodox,"Apr08,1981",1.80,27%,3.37,68%,0.00,0%,0%,0.5,2025-07-24 10:17:07.375392
Eric Magana,1-1-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Brandon Magana,6-2-0,,--,170lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Angela Magana,11-9-0,Your Majesty,"5'1""",115lbs.,"65""",Orthodox,"Aug02,1983",1.53,28%,4.92,42%,0.40,25%,28%,0.4,2025-07-24 10:17:07.375392
Neil Magny,29-14-0,The Haitian Sensation,"6'3""",170lbs.,"80""",Orthodox,"Aug03,1987",3.43,46%,2.48,51%,2.12,38%,53%,0.2,2025-07-24 10:17:07.375392
Raimond Magomedaliev,10-2-0,,"6'1""",170lbs.,"75""",Orthodox,"Jun10,1990",4.07,41%,4.75,41%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Ibragim Magomedov,22-8-1,,"6'0""",250lbs.,--,Orthodox,--,0.26,4%,3.86,42%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Rashid Magomedov,20-2-0,Highlander,"5'9""",155lbs.,"70""",Orthodox,"Nov29,1984",4.40,49%,3.05,54%,0.67,57%,89%,0.2,2025-07-24 10:17:07.375392
Ruslan Magomedov,14-1-0,Leopard,"6'3""",242lbs.,"78""",Orthodox,"Nov26,1986",4.02,47%,1.47,66%,0.33,100%,88%,0.0,2025-07-24 10:17:07.375392
Abus Magomedov,28-6-1,,"6'2""",185lbs.,"78""",Orthodox,"Sep02,1990",3.21,48%,3.68,56%,2.65,57%,100%,0.2,2025-07-24 10:17:07.375392
Shara Magomedov,15-1-0,Bullet,"6'2""",185lbs.,"73""",Orthodox,"May16,1994",5.87,62%,4.13,42%,0.00,0%,72%,0.0,2025-07-24 10:17:07.375392
Zabit Magomedsharipov,18-1-0,,"6'1""",145lbs.,"73""",Orthodox,"Mar01,1991",4.89,48%,3.00,64%,5.22,56%,77%,0.8,2025-07-24 10:17:07.375392
John Maguire,24-9-0,The One,"5'9""",155lbs.,"69""",Southpaw,"May19,1983",1.41,41%,2.44,65%,2.80,46%,77%,1.1,2025-07-24 10:17:07.375392
Lolohea Mahe,10-4-1,,--,--,--,,--,1.71,29%,6.92,40%,2.44,40%,0%,0.0,2025-07-24 10:17:07.375392
Michelle Maher,1-2-0,,--,145lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Maheshate,10-4-0,,"6'0""",155lbs.,"71""",Orthodox,"Dec01,1999",3.86,29%,5.64,53%,0.00,0%,45%,0.0,2025-07-24 10:17:07.375392
Bill Mahood,20-7-1 (1 NC),The Butcher,"6'3""",200lbs.,--,Orthodox,"Feb01,1967",1.54,85%,3.59,17%,0.00,0%,0%,3.9,2025-07-24 10:17:07.375392
Klayton Mai,8-3-0,,"5'9""",125lbs.,--,,"Nov30,1986",1.53,42%,1.02,63%,3.83,100%,0%,7.7,2025-07-24 10:17:07.375392
Demian Maia,28-11-0,,"6'1""",170lbs.,"72""",Southpaw,"Nov06,1977",1.80,43%,2.07,63%,2.49,24%,61%,1.0,2025-07-24 10:17:07.375392
Jennifer Maia,21-10-1,,"5'4""",125lbs.,"64""",Orthodox,"Oct06,1988",4.35,38%,4.52,55%,0.42,27%,58%,0.1,2025-07-24 10:17:07.375392
Nayara Maia,7-1-1,Capita,"5'5""",125lbs.,"66""",Orthodox,"Jul25,1990",0.60,36%,3.33,43%,1.00,33%,0%,1.0,2025-07-24 10:17:07.375392
Roshan Mainam,6-3-0,The Indian Notorious,--,135lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Levan Makashvili,15-2-1,The Hornet,"5'8""",145lbs.,"68""",Orthodox,"Jan07,1989",2.87,54%,2.07,61%,3.67,42%,85%,0.0,2025-07-24 10:17:07.375392
John Makdessi,18-9-0,The Bull,"5'8""",155lbs.,"68""",Orthodox,"May03,1985",5.52,49%,4.15,68%,0.00,0%,86%,0.0,2025-07-24 10:17:07.375392
Islam Makhachev,27-1-0,,"5'10""",155lbs.,"70""",Southpaw,"Oct27,1991",2.63,58%,1.55,61%,3.20,53%,90%,1.1,2025-07-24 10:17:07.375392
Aliev Makhmud,0-1-0,,"5'6""",195lbs.,--,Southpaw,"Feb13,1970",1.12,30%,2.24,36%,2.10,50%,0%,0.0,2025-07-24 10:17:07.375392
Zach Makovsky,20-8-0,Fun Size,"5'4""",125lbs.,"64""",Southpaw,"Apr19,1983",1.94,43%,2.24,62%,3.71,30%,56%,0.3,2025-07-24 10:17:07.375392
Azat Maksum,15-2-0,Qazaq,"5'7""",125lbs.,"70""",Southpaw,"Feb02,1995",3.24,28%,5.00,52%,2.33,28%,85%,0.3,2025-07-24 10:17:07.375392
Jeremy Malaterre,4-2-0,,"5'11""",155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Fabio Maldonado,23-11-0,Caipira de Aco,"6'1""",205lbs.,"75""",Orthodox,"Mar17,1980",5.29,58%,4.31,53%,0.44,57%,61%,0.6,2025-07-24 10:17:07.375392
Marvin Maldonado,2-4-0 (1 NC),The Bulldog,"5'6""",135lbs.,--,,--,0.87,56%,3.47,43%,0.00,0%,20%,0.0,2025-07-24 10:17:07.375392
Bea Malecki,4-1-0,,"5'9""",135lbs.,"74""",Orthodox,"Aug23,1991",6.84,46%,6.96,62%,0.00,0%,78%,1.1,2025-07-24 10:17:07.375392
Nazareno Malegarie,28-4-0,El Tigre,"5'8""",155lbs.,--,,"May16,1986",3.87,34%,3.27,69%,1.00,33%,0%,0.0,2025-07-24 10:17:07.375392
Carl Malenko,6-4-0,,"5'11""",200lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jacob Malkoun,8-3-0,Mamba,"5'9""",185lbs.,"73""",Orthodox,"Aug26,1995",3.86,56%,2.48,52%,6.62,42%,20%,0.4,2025-07-24 10:17:07.375392
Mike Malott,12-2-1,Proper,"6'1""",170lbs.,"73""",Orthodox,"Nov07,1991",4.09,47%,2.96,54%,2.08,56%,16%,0.7,2025-07-24 10:17:07.375392
Regina Malpica Rivera,5-0-0,Kill Bill,--,135lbs.,--,,"Oct19,2004",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dan Manasoiu,0-0-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Troy Mandaloniz,3-2-0,Rude Boy,"5'9""",170lbs.,--,Orthodox,"Feb01,1980",3.52,56%,4.71,63%,3.10,66%,57%,0.0,2025-07-24 10:17:07.375392
Nate Maness,16-3-0,Mayhem,"5'10""",125lbs.,"72""",Orthodox,"Jun27,1991",3.14,50%,3.88,42%,0.68,75%,80%,0.7,2025-07-24 10:17:07.375392
Michael Mangan,0-3-0,,--,155lbs.,--,,--,1.94,33%,4.52,46%,19.35,50%,100%,0.0,2025-07-24 10:17:07.375392
Gary Mangat,15-3-0,,"5'7""",135lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
George Mangos,7-0-0,,--,145lbs.,--,,"Aug19,2003",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Melvin Manhoef,30-14-1 (2 NC),No Mercy,"5'9""",185lbs.,--,Orthodox,"May11,1976",3.52,48%,2.64,51%,0.33,25%,78%,0.0,2025-07-24 10:17:07.375392
Melchor Manibusan,2-4-0,Barracuda,"5'5""",154lbs.,--,Southpaw,"Dec27,1976",1.58,54%,5.79,15%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jon Manley,9-4-0,,"6'1""",170lbs.,--,Orthodox,"Jul07,1986",1.13,20%,4.33,45%,1.00,7%,20%,0.0,2025-07-24 10:17:07.375392
Steve Mann,12-5-0,,"6'1""",170lbs.,--,,--,3.18,70%,0.66,57%,1.64,100%,60%,0.0,2025-07-24 10:17:07.375392
Marnic Mann,6-3-0,The Sawed-Off Savage,"5'0""",115lbs.,"64""",Southpaw,"Mar05,1993",1.47,41%,5.08,31%,1.90,33%,25%,0.4,2025-07-24 10:17:07.375392
Dylan Mantello,8-4-0,The Quiet Man,"6'1""",155lbs.,"73""",Orthodox,"Nov19,1992",4.69,62%,4.76,55%,0.00,0%,76%,0.0,2025-07-24 10:17:07.375392
Chris Manuel,9-7-2,,"5'9""",135lbs.,--,Orthodox,"Jul21,1987",2.53,40%,2.67,66%,1.00,20%,100%,0.0,2025-07-24 10:17:07.375392
Jimi Manuwa,17-6-0,Poster Boy,"6'1""",205lbs.,"79""",Orthodox,"Feb18,1980",3.43,54%,3.97,49%,0.53,18%,70%,0.4,2025-07-24 10:17:07.375392
Dominic Mar Fan,7-2-0,Street Buddha,"5'11""",155lbs.,"75""",Orthodox,"Mar19,2000",2.60,55%,2.67,28%,2.00,40%,0%,1.0,2025-07-24 10:17:07.375392
Cristiano Marcello,13-6-0,,"5'9""",155lbs.,"72""",Orthodox,"Dec03,1977",2.56,33%,3.61,58%,0.44,11%,20%,0.9,2025-07-24 10:17:07.375392
Daniel Marcos,17-1-0 (1 NC),Soncora,"5'7""",135lbs.,"69""",Orthodox,"Mar07,1993",5.11,53%,3.88,61%,0.99,46%,84%,0.0,2025-07-24 10:17:07.375392
Jose Maria,37-7-0 (2 NC),No Chance,"5'5""",125lbs.,--,Orthodox,"Jan04,1982",3.20,53%,3.98,52%,2.32,27%,33%,2.3,2025-07-24 10:17:07.375392
Marcos Mariano,6-6-0,Dhalsim,"6'1""",155lbs.,"76""",Switch,"Oct12,1986",0.25,27%,2.11,43%,0.00,0%,28%,0.0,2025-07-24 10:17:07.375392
Enrique Marin,10-4-0,Wasabi,"5'10""",170lbs.,--,,"Sep02,1986",1.43,33%,3.00,50%,2.50,38%,60%,1.0,2025-07-24 10:17:07.375392
Chepe Mariscal,18-6-0 (1 NC),Machine Gun,"5'7""",145lbs.,"69""",Orthodox,"Oct27,1992",4.95,56%,3.07,51%,2.85,39%,73%,0.2,2025-07-24 10:17:07.375392
Ronny Markes,17-5-0,,"6'1""",185lbs.,"75""",Orthodox,"Apr21,1988",2.17,53%,2.43,45%,3.13,40%,100%,0.5,2025-07-24 10:17:07.375392
Rory Markham,17-6-0,,"6'0""",170lbs.,"71""",Orthodox,"Mar25,1982",1.98,21%,10.27,45%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Randa Markos,11-12-1,Quiet Storm,"5'4""",115lbs.,"63""",Orthodox,"Aug10,1985",2.97,43%,3.10,58%,1.12,28%,52%,0.2,2025-07-24 10:17:07.375392
Christina Marks,8-9-0,,"5'7""",125lbs.,"69""",Orthodox,"Nov08,1985",5.00,58%,3.00,64%,7.50,100%,0%,0.0,2025-07-24 10:17:07.375392
Brendon Marotte,8-3-0,The Kid,"5'9""",145lbs.,"70""",Orthodox,"Jan12,1996",0.41,50%,5.70,28%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Nate Marquardt,35-19-2,The Great,"6'0""",185lbs.,"74""",Orthodox,"Apr20,1979",2.71,49%,2.32,55%,1.87,51%,70%,0.8,2025-07-24 10:17:07.375392
Danilo Marques,11-4-0,,"6'6""",205lbs.,"77""",Orthodox,"Dec26,1985",1.44,79%,2.52,52%,3.93,28%,0%,0.8,2025-07-24 10:17:07.375392
Julian Marquez,9-6-0,The Cuban Missile Crisis,"6'2""",185lbs.,"72""",Orthodox,"May08,1990",5.06,45%,5.35,50%,0.00,0%,54%,2.6,2025-07-24 10:17:07.375392
Carmelo Marrero,16-6-0 (1 NC),The Fury,"6'0""",205lbs.,"73""",Orthodox,"Jan26,1981",0.84,34%,2.04,54%,3.21,36%,36%,0.9,2025-07-24 10:17:07.375392
Cesar Marscucci,3-2-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
John Marsh,8-7-0,,"6'0""",265lbs.,--,Orthodox,"Sep15,1970",0.83,42%,2.23,40%,0.43,100%,54%,0.4,2025-07-24 10:17:07.375392
CJ Marsh,5-7-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Eliot Marshall,10-4-0,Fire,"6'2""",205lbs.,"77""",Orthodox,"Jul07,1980",1.93,27%,2.39,67%,0.47,33%,79%,0.9,2025-07-24 10:17:07.375392
Doug Marshall,18-8-0,The Rhino,"5'10""",205lbs.,--,Orthodox,"Sep09,1975",6.99,46%,4.02,60%,0.00,0%,66%,2.4,2025-07-24 10:17:07.375392
David Marshall,8-4-0,,"6'2""",170lbs.,--,,"Aug24,1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Francis Marshall,8-3-0,Fire,"5'9""",145lbs.,"72""",Orthodox,"Mar03,1999",3.46,33%,4.10,54%,2.75,44%,66%,0.4,2025-07-24 10:17:07.375392
Jack Marshman,23-10-0,The Hammer,"6'0""",185lbs.,"73""",Orthodox,"Dec19,1989",2.74,25%,4.19,56%,0.00,0%,20%,0.0,2025-07-24 10:17:07.375392
Terry Martin,23-11-0,,"5'8""",185lbs.,"71""",Orthodox,"Oct10,1980",2.82,43%,3.13,54%,3.10,42%,92%,0.0,2025-07-24 10:17:07.375392
Eric Martin,0-1-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Justin Martin,4-3-0,,"6'0""",185lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dave Martin,0-2-0,,"6'0""",205lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Joe Martin,6-8-0,,"5'9""",170lbs.,--,,--,0.73,40%,2.40,45%,0.00,0%,16%,0.0,2025-07-24 10:17:07.375392
Anthony Rocco Martin,17-6-0,,"6'0""",170lbs.,"73""",Orthodox,"Dec11,1989",2.68,37%,2.59,58%,0.71,27%,68%,1.0,2025-07-24 10:17:07.375392
Mallory Martin,7-5-0,,"5'4""",115lbs.,"63""",Orthodox,"Jan29,1994",4.42,48%,6.64,55%,2.28,43%,25%,0.3,2025-07-24 10:17:07.375392
Michal Martinek,7-1-0,,"6'2""",230lbs.,--,Southpaw,"Apr19,1990",2.45,53%,4.29,51%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Rainy Martinez,0-2-0,,"6'0""",199lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Danny Martinez,21-8-0,The Gremlin,"5'6""",125lbs.,"67""",Orthodox,"Jun14,1985",2.73,28%,3.77,63%,3.00,45%,36%,0.0,2025-07-24 10:17:07.375392
Alonzo Martinez,42-20-1,Zo Diddy,"5'10""",155lbs.,--,,"Apr22,1984",3.07,27%,7.33,52%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Henry Martinez,9-4-0,Sicario,"5'7""",155lbs.,"69""",Southpaw,"Aug07,1983",2.79,25%,4.01,60%,0.00,0%,80%,0.0,2025-07-24 10:17:07.375392
Jonathan Martinez,19-6-0,Dragon,"5'8""",135lbs.,"70""",Southpaw,"Apr20,1994",4.44,49%,4.09,56%,0.38,35%,68%,0.1,2025-07-24 10:17:07.375392
Poppies Martinez,29-11-0,The Tachi Kid,"5'9""",145lbs.,--,,"Aug19,1983",2.88,50%,2.16,51%,1.54,33%,50%,9.2,2025-07-24 10:17:07.375392
Andrew Martinez,9-6-0,Mickey D,"5'9""",215lbs.,--,,--,3.40,31%,2.30,47%,1.50,50%,0%,0.0,2025-07-24 10:17:07.375392
Mana Martinez,10-4-0,ManaBoi,"5'10""",135lbs.,"70""",Orthodox,"Mar25,1996",4.33,48%,4.94,50%,0.72,42%,25%,0.5,2025-07-24 10:17:07.375392
Victor Martinez,13-6-0,The Brick,"5'8""",155lbs.,"70""",Orthodox,"Jul17,1991",7.94,51%,7.66,53%,0.70,33%,80%,0.0,2025-07-24 10:17:07.375392
Roque Martinez,15-8-2,,"5'10""",250lbs.,"72""",Orthodox,"Mar04,1986",3.28,53%,4.90,56%,0.38,50%,53%,0.4,2025-07-24 10:17:07.375392
Melissa Martinez,8-2-0,Super Mely,"5'2""",115lbs.,"66""",Southpaw,"Aug18,1997",3.78,47%,5.21,53%,0.35,50%,50%,0.0,2025-07-24 10:17:07.375392
Julieta Martinez,8-0-0,The Ninja Ferret,"5'1""",115lbs.,"62""",Orthodox,"Sep14,2004",2.53,44%,3.60,41%,5.00,45%,100%,0.0,2025-07-24 10:17:07.375392
David Martinez,12-1-0,Black Spartan,"5'5""",135lbs.,"67""",Orthodox,"Aug03,1998",5.40,52%,2.70,67%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Wagner da Conceicao Martins,9-8-0 (1 NC),Zuluzinho,"6'7""",390lbs.,--,Orthodox,"May19,1978",1.91,37%,5.43,42%,2.20,100%,100%,0.0,2025-07-24 10:17:07.375392
Adriano Martins,28-9-0,,"5'10""",155lbs.,"72""",Southpaw,"Dec16,1982",1.80,38%,2.14,65%,0.83,80%,81%,0.4,2025-07-24 10:17:07.375392
Lucas Martins,19-3-0,Mineiro,"6'0""",145lbs.,"72""",Southpaw,"Nov11,1988",2.87,35%,4.14,60%,0.00,0%,76%,0.5,2025-07-24 10:17:07.375392
Max Martyniouk,1-1-0,Payne,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Bristol Marunde,16-10-0,,"6'1""",170lbs.,"75""",Orthodox,"Apr20,1982",1.42,21%,4.40,47%,1.60,33%,14%,0.0,2025-07-24 10:17:07.375392
Shoji Maruyama,12-9-1,,"5'7""",139lbs.,--,Orthodox,"Apr24,1983",1.40,63%,0.27,55%,0.00,0%,54%,0.0,2025-07-24 10:17:07.375392
Kazuma Maruyama,11-7-0,Gluttony,"5'11""",155lbs.,"72""",Orthodox,"Jul19,1992",3.83,41%,2.23,53%,4.79,33%,100%,0.0,2025-07-24 10:17:07.375392
Islem Masraf,3-1-0,Lightning,"6'0""",205lbs.,"74""",Southpaw,"Jun07,1996",0.68,20%,3.88,15%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Mike Massenzio,13-9-0,The Master of Disaster,"6'2""",185lbs.,"73""",Southpaw,"Nov01,1982",2.08,45%,3.59,54%,2.74,24%,50%,1.4,2025-07-24 10:17:07.375392
Jameel Massouh,26-9-0,,"5'10""",145lbs.,"72""",Orthodox,"Sep12,1984",1.91,54%,2.62,55%,0.67,15%,50%,0.7,2025-07-24 10:17:07.375392
Tiffany Masters,2-1-0,Rainbow Renegade,"5'3""",115lbs.,"65""",Orthodox,"Jul31,1994",3.53,62%,2.58,50%,3.06,60%,0%,0.0,2025-07-24 10:17:07.375392
Jorge Masvidal,35-17-0,Gamebred,"5'11""",170lbs.,"74""",Orthodox,"Nov12,1984",4.05,47%,3.05,64%,1.38,59%,72%,0.3,2025-07-24 10:17:07.375392
Al Matavao,8-3-0,Sweetness,"5'8""",205lbs.,"67""",Orthodox,"Feb23,1994",7.84,46%,6.70,58%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Tateki Matsuda,13-8-0,Tech,"5'7""",125lbs.,--,Orthodox,"Feb27,1986",3.20,34%,3.43,69%,0.00,0%,16%,0.0,2025-07-24 10:17:07.375392
Arisa Matsuda,7-0-0,,"5'3""",115lbs.,"64""",Orthodox,"Dec15,1994",1.00,75%,1.87,56%,3.00,42%,0%,1.0,2025-07-24 10:17:07.375392
Daijiro Matsui,13-29-7,,"5'9""",200lbs.,--,Orthodox,"Dec05,1972",0.84,45%,1.69,55%,1.83,30%,43%,0.4,2025-07-24 10:17:07.375392
Toki Matsui,6-1-0,,"5'6""",125lbs.,"65""",Orthodox,"Sep08,1999",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Koichiro Matsumoto,15-3-1,,"5'7""",145lbs.,--,,"Mar07,1986",1.90,26%,3.50,31%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jean Matsumoto,16-1-0,,"5'6""",135lbs.,"68""",Orthodox,"Sep09,1999",5.18,41%,5.40,45%,2.73,47%,57%,0.3,2025-07-24 10:17:07.375392
Koyomi Matsushima,13-6-0,,"5'7""",145lbs.,"66""",Orthodox,"Oct08,1992",2.70,47%,2.83,59%,9.00,52%,33%,0.0,2025-07-24 10:17:07.375392
Naoki Matsushita,12-16-11,,"5'6""",155lbs.,--,Orthodox,--,3.30,32%,2.20,63%,1.50,100%,0%,0.0,2025-07-24 10:17:07.375392
AJ Matthews,8-7-0,,"5'11""",185lbs.,--,,--,5.11,52%,4.96,51%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Jake Matthews,22-7-0,The Celtic Kid,"5'11""",170lbs.,"73""",Orthodox,"Aug19,1994",3.44,43%,2.63,60%,1.51,42%,67%,0.6,2025-07-24 10:17:07.375392
Connor Matthews,7-4-0,The Controller,"5'8""",145lbs.,"71""",Switch,"May31,1992",4.82,43%,6.06,55%,3.24,55%,46%,0.7,2025-07-24 10:17:07.375392
Claudio Mattos,5-4-0,Popeye,--,185lbs.,--,Orthodox,--,0.00,0%,3.53,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
John Matua,1-4-0,,"6'2""",400lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Francesco Maturi,0-1-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Vladimir Matyushenko,27-8-0,The Janitor,"6'0""",205lbs.,"74""",Orthodox,"Jan04,1971",1.90,44%,1.62,59%,3.25,46%,70%,0.1,2025-07-24 10:17:07.375392
Miranda Maverick,17-6-0,Fear The,"5'3""",125lbs.,"65""",Southpaw,"Jul01,1997",3.22,44%,2.25,61%,2.16,40%,45%,0.4,2025-07-24 10:17:07.375392
Nick Maximov,8-2-0,,"6'0""",185lbs.,"76""",Southpaw,"Dec23,1997",1.93,45%,2.64,46%,4.16,45%,35%,0.2,2025-07-24 10:17:07.375392
Elaina Maxwell,7-4-0,Beef,"5'8""",145lbs.,--,Orthodox,"Dec16,1978",2.07,60%,2.40,53%,0.00,0%,50%,1.0,2025-07-24 10:17:07.375392
