event,fighter1,fighter2,fighter1_odds,fighter2_odds,result,date,link,timestamp,fighter1_implied_prob,fighter2_implied_prob,total_implied_prob,bookmaker_margin,fighter1_norm_prob,fighter2_norm_prob,result_encoded,has_result,odds_diff,odds_ratio,fighter1_is_favorite,underdog_odds,favorite_odds,odds_gap,year,month,day_of_week
UFC Fight Night: Lewis vs. Teixeira,Jake Matthews,Chidi Njokuani,1.96,1.87,Jake Matthews,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.5102040816326531,0.53475935828877,1.044963439921423,0.04496343992142293,0.48825065274151447,0.5117493472584856,1,1,0.08999999999999986,1.0481283422459893,0,1.96,1.87,0.08999999999999986,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Lauren Murphy,Eduarda Moura,5.6,1.17,Eduarda Moura,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.17857142857142858,0.8547008547008548,1.0332722832722834,0.033272283272283376,0.172821270310192,0.827178729689808,0,1,4.43,4.786324786324786,0,5.6,1.17,4.43,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Kennedy Nzechukwu,Valter Walker,1.44,3.0,Valter Walker,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.6944444444444444,0.3333333333333333,1.0277777777777777,0.02777777777777768,0.6756756756756758,0.32432432432432434,0,1,-1.56,0.48,1,3.0,1.44,1.56,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Mitch Ramirez,Mike Davis,7.5,1.11,Mike Davis,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.13333333333333333,0.9009009009009008,1.034234234234234,0.03423423423423411,0.12891986062717772,0.8710801393728224,0,1,6.39,6.756756756756756,0,7.5,1.11,6.39,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Fatima Kline,Melissa Martinez,1.09,8.5,Fatima Kline,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.9174311926605504,0.11764705882352941,1.0350782514840797,0.035078251484079725,0.886339937434828,0.11366006256517207,1,1,-7.41,0.12823529411764706,1,8.5,1.09,7.41,2025,7,5
UFC 317,Ilia Topuria,Charles Oliveira,1.25,4.4,Ilia Topuria,2025-06-28,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051,0.8,0.22727272727272727,1.0272727272727273,0.027272727272727337,0.7787610619469026,0.22123893805309733,1,1,-3.1500000000000004,0.28409090909090906,1,4.4,1.25,3.1500000000000004,2025,6,5
UFC 317,Alexandre Pantoja,Kai Kara-France,1.43,3.15,Alexandre Pantoja,2025-06-28,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051,0.6993006993006994,0.31746031746031744,1.0167610167610168,0.016761016761016823,0.6877729257641921,0.3122270742358078,1,1,-1.72,0.45396825396825397,1,3.15,1.43,1.72,2025,6,5
UFC 317,Brandon Royval,Joshua Van,2.02,2.05,Joshua Van,2025-06-28,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051,0.49504950495049505,0.48780487804878053,0.9828543829992755,-0.017145617000724478,0.5036855036855037,0.49631449631449637,0,1,-0.029999999999999805,0.9853658536585367,1,2.05,2.02,0.029999999999999805,2025,6,5
UFC 317,Beneil Dariush,Renato Moicano,2.36,1.93,Beneil Dariush,2025-06-28,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051,0.42372881355932207,0.5181347150259068,0.9418635285852288,-0.058136471414771185,0.4498834498834499,0.5501165501165501,1,1,0.42999999999999994,1.2227979274611398,0,2.36,1.93,0.42999999999999994,2025,6,5
UFC 317,Payton Talbott,Felipe Lima,2.5,1.61,Payton Talbott,2025-06-28,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051,0.4,0.6211180124223602,1.0211180124223602,0.02111801242236022,0.39172749391727496,0.608272506082725,1,1,0.8899999999999999,1.5527950310559004,0,2.5,1.61,0.8899999999999999,2025,6,5
UFC 317,Gregory Rodrigues,Jack Hermansson,1.52,2.88,Gregory Rodrigues,2025-06-28,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051,0.6578947368421053,0.3472222222222222,1.0051169590643276,0.005116959064327631,0.6545454545454545,0.3454545454545454,1,1,-1.3599999999999999,0.5277777777777778,1,2.88,1.52,1.3599999999999999,2025,6,5
UFC 317,Jose  Delgado,Hyder Amil,1.74,2.22,Jose  Delgado,2025-06-28,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051,0.5747126436781609,0.4504504504504504,1.0251630941286112,0.025163094128611174,0.5606060606060607,0.43939393939393945,1,1,-0.4800000000000002,0.7837837837837837,1,2.22,1.74,0.4800000000000002,2025,6,5
UFC 317,Tracy Cortez,Viviane Araujo,1.44,3.0,Tracy Cortez,2025-06-28,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051,0.6944444444444444,0.3333333333333333,1.0277777777777777,0.02777777777777768,0.6756756756756758,0.32432432432432434,1,1,-1.56,0.48,1,3.0,1.44,1.56,2025,6,5
