EVENT,URL,DATE,LOCATION,timestamp,year,month,day,day_of_week,city,state,country,is_ppv,is_fight_night
UFC 76: Knockout,http://ufcstats.com/event-details/bad28b7b34f334de,2007-09-22,"Anaheim, California, USA",,2007,9,22,5,Anaheim,California,USA,True,False
UFC Fight Night: Thomas vs Florian,http://ufcstats.com/event-details/f341f9551ba744e2,2007-09-19,"Las Vegas, Nevada, USA",,2007,9,19,2,Las Vegas,Nevada,USA,False,True
UFC 75: Champion vs Champion,http://ufcstats.com/event-details/0aa92558424ced9e,2007-09-08,"London, England, United Kingdom",,2007,9,8,5,London,England,United Kingdom,True,False
UFC 74: Respect,http://ufcstats.com/event-details/a5c53b3ddb31cc7d,2007-08-25,"Las Vegas, Nevada, USA",,2007,8,25,5,Las Vegas,Nevada,USA,True,False
UFC 73: Stacked,http://ufcstats.com/event-details/2a6f8136da1e52c0,2007-07-07,"Sacramento, California, USA",,2007,7,7,5,Sacramento,California,USA,True,False
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,http://ufcstats.com/event-details/e7ec11096eac0282,2007-06-23,"Las Vegas, Nevada, USA",,2007,6,23,5,Las Vegas,Nevada,USA,False,False
UFC 72: Victory,http://ufcstats.com/event-details/5ca158b1cc9cb242,2007-06-16,"Belfast, Northern Ireland, United Kingdom",,2007,6,16,5,Belfast,Northern Ireland,United Kingdom,True,False
UFC Fight Night: Stout vs Fisher,http://ufcstats.com/event-details/304fcd812f12c589,2007-06-12,"Hollywood, Florida, USA",,2007,6,12,1,Hollywood,Florida,USA,False,True
UFC 71: Liddell vs Jackson,http://ufcstats.com/event-details/2e04a3b4a2011b97,2007-05-26,"Las Vegas, Nevada, USA",,2007,5,26,5,Las Vegas,Nevada,USA,True,False
UFC 70: Nations Collide,http://ufcstats.com/event-details/4604ab1de9058474,2007-04-21,"Manchester, England, United Kingdom",,2007,4,21,5,Manchester,England,United Kingdom,True,False
UFC 69: Shootout,http://ufcstats.com/event-details/c1684f00c626f4c0,2007-04-07,"Houston, Texas, USA",,2007,4,7,5,Houston,Texas,USA,True,False
UFC Fight Night: Stevenson vs Guillard,http://ufcstats.com/event-details/a6c2f5381d575920,2007-04-05,"Las Vegas, Nevada, USA",,2007,4,5,3,Las Vegas,Nevada,USA,False,True
UFC 68: The Uprising,http://ufcstats.com/event-details/de3ed2e152520c8d,2007-03-03,"Columbus, Ohio, USA",,2007,3,3,5,Columbus,Ohio,USA,True,False
UFC 67: All or Nothing,http://ufcstats.com/event-details/63b65af1c5cb02cb,2007-02-03,"Las Vegas, Nevada, USA",,2007,2,3,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Evans vs Salmon,http://ufcstats.com/event-details/13c4313ed0f744f3,2007-01-25,"Hollywood, Florida, USA",,2007,1,25,3,Hollywood,Florida,USA,False,True
UFC 66: Liddell vs Ortiz 2,http://ufcstats.com/event-details/ee5df903f80c6816,2006-12-30,"Las Vegas, Nevada, USA",,2006,12,30,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Sanchez vs Riggs,http://ufcstats.com/event-details/21b8a0f5c231096f,2006-12-13,"San Diego, California, USA",,2006,12,13,2,San Diego,California,USA,False,True
UFC 65: Bad Intentions,http://ufcstats.com/event-details/3fed746acfd026dd,2006-11-18,"Sacramento, California, USA",,2006,11,18,5,Sacramento,California,USA,True,False
